'46495'	'46495'	1.000000

'46495'	'23812'	0.600000

'46495'	'41729'	0.500000

'46495'	'91911'	0.571429

'46495'	'82212'	0.500000

'46495'	'15813'	0.400000

'46495'	'85232'	0.500000

'46495'	'20856'	0.375000

'46495'	'3458'	0.500000

'46495'	'13052'	0.200000

'46495'	'82993'	0.400000

'46495'	'32088'	0.571429

'46495'	'64392'	0.400000

'46495'	'29047'	0.333333

'46495'	'42633'	0.400000

'46495'	'53272'	0.400000

'46495'	'97218'	0.333333

'46495'	'69893'	0.285714

'46495'	'96099'	0.000000

'46495'	'82238'	0.000000

'46495'	'50018'	0.600000

'46495'	'68578'	0.285714

'46495'	'55996'	0.285714

'46495'	'93456'	0.571429

'46495'	'33838'	0.500000

'46495'	'71389'	0.375000

'46495'	'43878'	0.400000

'46495'	'57602'	0.400000

'46495'	'58445'	0.166667

'46495'	'39939'	0.600000

'46495'	'81697'	0.600000

'46495'	'17622'	0.125000

'46495'	'81859'	0.750000

'46495'	'6040'	0.400000

'46495'	'57370'	0.600000

'46495'	'22711'	0.125000

'46495'	'52235'	0.200000

'46495'	'46042'	0.166667

'46495'	'34563'	0.166667

'46495'	'78796'	0.428571

'46495'	'9776'	0.571429

'46495'	'83741'	0.400000

'46495'	'7674'	0.166667

'46495'	'91796'	0.200000

'46495'	'63064'	0.200000

'46495'	'24307'	0.400000

'46495'	'63703'	0.166667

'46495'	'8208'	0.166667

'46495'	'62186'	0.600000

'46495'	'28919'	0.428571

'46495'	'56394'	0.125000

'46495'	'81816'	0.400000

'46495'	'34088'	0.333333

'46495'	'37224'	0.000000

'46495'	'40084'	0.400000

'46495'	'82886'	0.333333

'46495'	'23319'	0.600000

'46495'	'42296'	0.600000

'46495'	'93168'	0.333333

'46495'	'42269'	0.333333

'46495'	'17526'	0.400000

'46495'	'38472'	0.600000

'46495'	'83227'	0.125000

'46495'	'29209'	0.166667

'46495'	'83394'	0.375000

'46495'	'10701'	0.750000

'46495'	'94372'	0.166667

'46495'	'93192'	0.000000

'46495'	'98170'	0.600000

'46495'	'85492'	0.571429

'46495'	'73462'	0.200000

'46495'	'38846'	0.125000

'46495'	'91426'	0.285714

'46495'	'27031'	0.125000

'46495'	'28672'	0.200000

'46495'	'46975'	0.125000

'46495'	'25551'	0.500000

'46495'	'91194'	0.400000

'46495'	'18773'	0.333333

'46495'	'37237'	0.428571

'46495'	'25196'	0.333333

'46495'	'61242'	0.333333

'46495'	'56029'	0.200000

'46495'	'42074'	0.250000

'46495'	'70005'	0.500000

'46495'	'35014'	0.285714

'46495'	'19267'	0.125000

'46495'	'1806'	0.200000

'46495'	'57644'	0.600000

'46495'	'26095'	0.200000

'46495'	'64258'	0.200000

'46495'	'84035'	0.166667

'46495'	'45127'	0.200000

'46495'	'34047'	0.200000

'46495'	'14181'	0.571429

'46495'	'57481'	0.333333

'46495'	'29773'	0.200000

'46495'	'54203'	0.400000

'46495'	'36257'	0.600000

'46495'	'4629'	0.571429

'46495'	'26246'	0.428571

'46495'	'37438'	0.285714

'46495'	'98797'	0.000000

'46495'	'81563'	0.000000

'46495'	'65815'	0.200000

'46495'	'38181'	0.600000

'46495'	'63634'	0.333333

'46495'	'23760'	0.333333

'46495'	'49624'	0.600000

'46495'	'39117'	0.285714

'46495'	'24634'	0.200000

'46495'	'94652'	0.400000

'46495'	'7780'	0.571429

'46495'	'73624'	0.166667

'46495'	'3733'	0.500000

'46495'	'73183'	0.400000

'46495'	'42202'	0.166667

'46495'	'32054'	0.000000

'46495'	'50362'	0.200000

'46495'	'276'	0.200000

'46495'	'70919'	0.000000

'46495'	'94719'	0.125000

'46495'	'10814'	0.000000

'46495'	'25878'	0.400000

'46495'	'39299'	0.142857

'46495'	'27312'	0.000000

'46495'	'88042'	0.142857

'46495'	'38031'	0.375000

'46495'	'52954'	0.200000

'46495'	'20326'	0.200000

'46495'	'8304'	0.400000

'46495'	'72058'	0.600000

'46495'	'34958'	0.285714

'46495'	'41719'	0.600000

'46495'	'97612'	0.200000

'46495'	'47023'	0.400000

'23812'	'46495'	0.600000

'23812'	'23812'	1.000000

'23812'	'41729'	0.800000

'23812'	'91911'	0.375000

'23812'	'82212'	0.800000

'23812'	'15813'	0.750000

'23812'	'85232'	0.800000

'23812'	'20856'	0.222222

'23812'	'3458'	0.800000

'23812'	'13052'	0.200000

'23812'	'82993'	0.400000

'23812'	'32088'	0.375000

'23812'	'64392'	0.400000

'23812'	'29047'	0.600000

'23812'	'42633'	0.400000

'23812'	'53272'	0.400000

'23812'	'97218'	0.333333

'23812'	'69893'	0.500000

'23812'	'96099'	0.000000

